ID,HousePrice,yhat,delta
7857,919497.0,660072.2972680625,259424.70273193752
1641,283680.0,289177.79297644366,-5497.792976443656
3620,135818.0,166619.49465333694,-30801.494653336937
2820,468742.0,398384.28451047547,70357.71548952453
1572,311065.0,389518.4899596196,-78453.48995961959
202,228740.0,198964.5933984526,29775.40660154741
8169,260611.0,294784.6602290216,-34173.660229021625
6212,199843.0,210704.12894275767,-10861.12894275767
6754,273619.0,260715.37364563253,12903.626354367472
5197,334528.0,313213.8146918347,21314.185308165324
5170,371797.0,411610.5104903482,-39813.51049034821
3987,129547.0,124654.76735315598,4892.232646844015
8088,241878.0,193002.01313984944,48875.98686015056
1181,544164.0,503632.3739617062,40531.62603829382
5703,233936.0,248737.98668513424,-14801.986685134238
7979,340244.0,310809.2917819942,29434.708218005777
2546,673459.0,670056.0497525126,3402.9502474874025
5831,219892.0,261525.21342596374,-41633.21342596374
2288,136479.0,178225.26147093184,-41746.261470931844
7372,284417.0,262588.5445717622,21828.455428237794
8553,401696.0,313633.7453586321,88062.25464136788
605,400036.0,503496.15571380855,-103460.15571380855
7343,502384.0,454250.3455286312,48133.65447136882
6956,432570.0,460794.6943775057,-28224.694377505686
6787,271336.0,208790.67410792474,62545.325892075256
8790,259581.0,283810.44718933845,-24229.447189338447
8875,368614.0,395641.25059223163,-27027.250592231634
5222,449834.0,441770.6006979059,8063.399302094127
6583,268084.0,249646.315230394,18437.684769606014
4457,326357.0,410688.68794281315,-84331.68794281315
3798,513051.0,499357.119905585,13693.880094414984
8692,484256.0,663018.1510235489,-178762.1510235489
9185,391848.0,497638.4591102517,-105790.45911025169
9170,289229.0,303536.6295907551,-14307.629590755096
6922,396836.0,566598.854444813,-169762.85444481298
1816,299874.0,315679.89577785763,-15805.89577785763
889,453808.0,389502.65466081526,64305.34533918474
2315,197244.0,197667.92962042938,-423.9296204293787
3837,348815.0,331519.1229527244,17295.8770472756
8611,573658.0,570293.0438141219,3364.956185878138
5917,269948.0,237208.23188195453,32739.768118045467
6719,133645.0,110666.40868751092,22978.59131248908
5994,367737.0,463423.14408157876,-95686.14408157876
9266,252230.0,233527.08907518655,18702.91092481345
4038,104509.0,110147.09100402707,-5638.091004027068
2556,559989.0,429561.0490637213,130427.95093627868
3330,300314.0,334262.3749358185,-33948.37493581849
9027,112586.0,108427.70839041503,4158.291609584965
486,225432.0,228535.07529446133,-3103.075294461334
5064,421310.0,469407.7428881114,-48097.74288811139
